madde_id,madde,on_taki
3,dulda tutmak,
15,duman almak,
16,duman altı etmek,
17,duman altı olmak,
18,duman attırmak,
19,duman etmek,
20,duman olmak,
21,duman vermek,
22,dumanı doğru çıksın,
23,dumanı tepesinden çıkmak,
24,dumana boğmak,
32,"dumansız baca olmaz, kahırsız koca olmaz",
35,dumura uğramak,
79,durgunluk çökmek,
84,dur! (veya durun!),
85,dur durak (veya dur dinlen veya dur otur) yok,
86,"durdu durdu, turnayı gözünden vurdu",
87,durduğu yerde (veya durduk yerde),
106,durumdan ders çıkarmak,
107,durumdan vazife çıkarmak,
108,durum almak,
109,durumu bozulmak,
110,durumu düzelmek,
111,... durumuna düşmek,
112,... durumunda olmak (veya bulunmak),
126,dut gibi olmak,
127,dut yemiş bülbüle dönmek,
131,dut kurusu ile yâr sevilmez,
135,duvağına doymamak,
146,duvar çekmek,
147,duvar gibi,
148,duvar yapmak,
180,... duygusu uyandırmak,
181,duygu uyanmak,(bir)
204,duymazlıktan gelmek,
210,duyulur duyulmaz,
213,duyum almak,
231,duyuruda bulunmak,
247,düdük gibi,
248,düdük gibi kalmak,
270,düğüm atmak,
271,düğüm üstüne düğüm vurmak (atmak),
272,düğüm vurmak,
273,düğümü (veya düğümünü) çözmek,
282,düğün aşıyla dost ağırlanmaz,
283,düğün bayram etmek,
284,"düğün değil bayram değil, eniştem beni niye öptü",
285,"düğün olur iki kişiye, kaygısı düşer deli komşuya",
286,düğününde kalburla (veya elekle) su taşımak,(birinin) 
294,"düğün dernek, hep bir örnek",
296,düğünevi gibi,
299,düğün pilavıyla dost ağırlanmaz,
316,dümen çevirmek,
317,dümen kırmak,
318,dümen kullanmak,
319,dümen tutmak,
320,dümen yapmak,
321,dümeni elinde tutmak,
322,dümeni kırmak,
323,dümenine bakmak,
324,dümenini bozmak,(birinin) 
325,dümenini elinde tutmak,(bir şeyin) 
335,dümen suyunda gitmek,
337,dümtek tutmak,
339,"dün bir, bugün iki",
340,"dün cin olmuş, bugün adam çarpıyor",
341,dün öleni dün gömerler,
343,dünden hazır (veya razı) olmak,
348,dünür düşmek,
349,dünür gezmek,
350,dünür gitmek,
353,dünürcülüğe gitmek,
356,dünya ahret kardeşim (veya bacım) (olsun),
357,dünya başına dar olmak (veya gelmek),
358,dünya başına yıkılmak,
359,dünya bir araya gelse,
360,"dünya bir, işi bin",
361,dünya (veya dünyalar) birinin olmak,
362,dünya durdukça durasın!,
363,dünya gözü ile görmek,
364,dünya gözüne zindan olmak (veya görünmek veya kesilmek),
365,dünya kadar,
366,dünya kelamı etmek,
367,dünya malı dünyada kalır,
368,"dünya ölümlü, gün akşamlı",
369,dünya Süleyman'a bile kalmamış,
370,"dünya tükenir, yalan tükenmez",
371,dünya varmış,
372,dünya yıkılsa umurunda değil,
373,dünya yüzü görmemek,
374,dünyada tasasız baş bostan korkuluğunda bulunur,
375,dünyadan el etek (veya elini eteğini veya elini ayağını) çekmek,
376,dünyadan geçmek (veya el çekmek),
377,dünyadan haberi olmamak,
378,dünyanın dört bucağı,
379,dünyanın ... sı,
380,dünyanın kaç bucak (veya köşe) olduğunu göstermek (veya anlamak),
381,dünyanın öbür ucu,
382,dünyanın sonu değil,
383,dünyanın sonu,
384,dünyanın ucu uzundur,
385,dünyanın tadını çıkarmak,
386,dünyasından geçmek,
387,dünyaya gelmek,
388,dünyaya getirmek,
389,dünyaya gözlerini kapamak (veya yummak),
390,dünyaya kazık çakmak (veya kakmak),
391,dünyaya yuf borusu öttürmek,
392,dünyalara değişmemek,
393,dünyayı anlamak,
394,dünyayı ben yarattım demek (veya havasında olmak),
395,dünyayı görmemek,
396,dünyayı haram etmek,
397,dünyayı sel bassa ördeğe vız gelir,
398,dünyayı tozpembe görmek,
399,dünyayı tutmak,
400,dünyayı zindan (veya zehir) etmek (veya dünyayı başına dar etmek),
408,dünyalığı doğrultmak,
415,dürbünün tersiyle bakmak,
452,düstur edinmek,
454,düş görmek,
455,düş uykudan sonra olur,
462,düşeş atmak,
469,düş kırıklığı yaratmak,
470,düş kırıklığına uğramak,
473,düşkün olmak,(birine veya bir şeye) 
474,... düşkünü (olmak),
483,düşman başına,
484,düşman çatlatmak,
485,düşman düşmana gazel (veya Yasin) okumaz,
486,düşman (veya düşmanı) kesilmek,
487,düşman olmak,
488,düşmanı denize dökmek,
489,düşmanın karınca ise de hor bakma,
497,düşenin dostu olmaz,
498,düşmez kalkmaz bir Allah,
499,düşüp kalkmak,
